propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
US000009,919,GROUP CANCELLATION,2023-08-24,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-24,0,0,$0.00
US000009,919,NON - GTD,2023-08-24,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-24,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-24,0,0,$0.00
US000009,919,UNKNOWN,2023-08-24,2,8,"$1,191.68"
US000009,919,USER ERROR,2023-08-24,0,0,$0.00
US000009,919,WEATHER,2023-08-24,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-25,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-25,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-25,2,3,$544.20
US000009,919,DUPLICATE RESERVATION,2023-08-25,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-25,1,1,$199.92
US000009,919,FLIGHT CANCELLATION,2023-08-25,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-25,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-25,0,0,$0.00
US000009,919,NON - GTD,2023-08-25,1,1,$285.00
US000009,919,RATE RESISTANCE,2023-08-25,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-25,0,0,$0.00
US000009,919,UNKNOWN,2023-08-25,2,3,$568.30
US000009,919,USER ERROR,2023-08-25,0,0,$0.00
US000009,919,WEATHER,2023-08-25,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-26,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-26,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-26,1,1,$215.00
US000009,919,DUPLICATE RESERVATION,2023-08-26,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-26,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-26,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-26,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-26,0,0,$0.00
US000009,919,NON - GTD,2023-08-26,6,10,"$1,954.20"
US000009,919,RATE RESISTANCE,2023-08-26,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-26,0,0,$0.00
US000009,919,UNKNOWN,2023-08-26,2,8,$994.69
US000009,919,USER ERROR,2023-08-26,0,0,$0.00
US000009,919,WEATHER,2023-08-26,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-27,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-27,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-27,0,0,$0.00
US000009,919,DUPLICATE RESERVATION,2023-08-27,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-27,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-27,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-27,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-27,0,0,$0.00
US000009,919,NON - GTD,2023-08-27,4,4,$672.30
US000009,919,RATE RESISTANCE,2023-08-27,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-27,0,0,$0.00
US000009,919,UNKNOWN,2023-08-27,8,14,"$2,245.66"
US000009,919,USER ERROR,2023-08-27,0,0,$0.00
US000009,919,WEATHER,2023-08-27,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-28,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-28,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-28,5,5,$806.20
US000009,919,DUPLICATE RESERVATION,2023-08-28,3,6,"$1,134.55"
US000009,919,FAMILY EMERGENCY,2023-08-28,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-28,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-28,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-28,0,0,$0.00
US000009,919,NON - GTD,2023-08-28,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-28,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-28,0,0,$0.00
US000009,919,UNKNOWN,2023-08-28,2,7,$552.95
US000009,919,USER ERROR,2023-08-28,0,0,$0.00
US000009,919,WEATHER,2023-08-28,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-29,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-29,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-29,3,7,$964.19
US000009,919,DUPLICATE RESERVATION,2023-08-29,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-29,0,0,$0.00
US000009,919,FLIGHT CANCELLATION,2023-08-29,0,0,$0.00
US000009,919,GROUP CANCELLATION,2023-08-29,0,0,$0.00
US000009,919,HOTEL FEATURES,2023-08-29,0,0,$0.00
US000009,919,NON - GTD,2023-08-29,0,0,$0.00
US000009,919,RATE RESISTANCE,2023-08-29,0,0,$0.00
US000009,919,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-29,1,2,$286.00
US000009,919,UNKNOWN,2023-08-29,3,5,$739.31
US000009,919,USER ERROR,2023-08-29,0,0,$0.00
US000009,919,WEATHER,2023-08-29,0,0,$0.00
US000009,919,4PM GUARANTEE,2023-08-30,0,0,$0.00
US000009,919,6PM GUARANTEE,2023-08-30,0,0,$0.00
US000009,919,CHANGE OF PLANS,2023-08-30,1,1,$80.00
US000009,919,DUPLICATE RESERVATION,2023-08-30,0,0,$0.00
US000009,919,FAMILY EMERGENCY,2023-08-30,1,1,$121.55
