propertyCode,pullDateId,CancellationReason,CxlDate,Resv,RoomNights,RoomRev
USTX230301,920,UNKNOWN,2023-08-09,3,6,$634.05
USTX230301,920,USER ERROR,2023-08-09,1,1,$61.00
USTX230301,920,WEATHER,2023-08-09,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-10,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-10,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-10,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-10,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-10,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-10,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-10,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-10,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-10,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-10,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-10,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-10,1,1,$134.00
USTX230301,920,USER ERROR,2023-08-10,4,4,$244.00
USTX230301,920,WEATHER,2023-08-10,1,3,$317.00
USTX230301,920,4PM GUARANTEE,2023-08-11,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-11,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-11,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-11,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-11,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-11,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-11,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-11,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-11,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-11,1,4,$641.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-11,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-11,5,15,"$1,745.35"
USTX230301,920,USER ERROR,2023-08-11,3,3,$183.00
USTX230301,920,WEATHER,2023-08-11,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-12,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-12,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-12,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-12,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-12,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-12,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-12,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-12,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-12,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-12,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-12,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-12,3,3,$370.55
USTX230301,920,USER ERROR,2023-08-12,0,0,$0.00
USTX230301,920,WEATHER,2023-08-12,1,1,$104.00
USTX230301,920,4PM GUARANTEE,2023-08-13,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-13,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-13,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-13,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-13,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-13,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-13,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-13,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-13,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-13,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-13,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-13,6,13,"$1,571.81"
USTX230301,920,USER ERROR,2023-08-13,2,2,$122.00
USTX230301,920,WEATHER,2023-08-13,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-14,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-14,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-14,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-14,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-14,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-14,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-14,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-14,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-14,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-14,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-14,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-14,3,11,"$1,599.08"
USTX230301,920,USER ERROR,2023-08-14,6,6,$366.00
USTX230301,920,WEATHER,2023-08-14,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-15,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-15,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-15,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-15,1,3,$280.80
USTX230301,920,FAMILY EMERGENCY,2023-08-15,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-15,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-15,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-15,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-15,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-15,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-15,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-15,5,16,"$1,808.46"
USTX230301,920,USER ERROR,2023-08-15,0,0,$0.00
USTX230301,920,WEATHER,2023-08-15,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-16,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-16,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-16,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-16,0,0,$0.00
USTX230301,920,FAMILY EMERGENCY,2023-08-16,0,0,$0.00
USTX230301,920,FLIGHT CANCELLATION,2023-08-16,0,0,$0.00
USTX230301,920,GROUP CANCELLATION,2023-08-16,0,0,$0.00
USTX230301,920,HOTEL FEATURES,2023-08-16,0,0,$0.00
USTX230301,920,NON - GTD,2023-08-16,0,0,$0.00
USTX230301,920,RATE RESISTANCE,2023-08-16,0,0,$0.00
USTX230301,920,TRAVEL CONCERN: HEALTH-SAFETY,2023-08-16,0,0,$0.00
USTX230301,920,UNKNOWN,2023-08-16,1,5,$429.32
USTX230301,920,USER ERROR,2023-08-16,0,0,$0.00
USTX230301,920,WEATHER,2023-08-16,0,0,$0.00
USTX230301,920,4PM GUARANTEE,2023-08-17,0,0,$0.00
USTX230301,920,6PM GUARANTEE,2023-08-17,0,0,$0.00
USTX230301,920,CHANGE OF PLANS,2023-08-17,0,0,$0.00
USTX230301,920,DUPLICATE RESERVATION,2023-08-17,0,0,$0.00
