propertyCode,pullDateId,ACCOUNT,AUTH_STATUS,CREATED_AT,UPDATED_AT
USTX230301,994,890254004,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,890451712,Authorized,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,890858146,Error,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,890860210,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,890897940,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891055467,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891199388,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891211755,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891391348,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891453808,Authorized,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891485358,Authorized,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891507290,No Auth,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.191239+05:30'
USTX230301,994,891569479,,'2023-10-31T21:00:44.191239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,891909331,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892102077,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892248559,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892248668,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892254906,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892494793,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892529129,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892676144,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,892905123,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893245524,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893246018,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893475037,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893491297,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893507009,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893608845,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893608846,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893748094,Settled,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893752376,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893752449,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893853469,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893860538,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893866981,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,893949305,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894116395,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894126989,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894250151,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894317271,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894408262,Settled,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894649296,,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894772811,Error,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894838792,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.192239+05:30'
USTX230301,994,894838857,No Auth,'2023-10-31T21:00:44.192239+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,894853393,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895130846,Error,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895138936,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895251170,Error,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751118,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751295,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751296,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751460,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751474,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895751475,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,895872655,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896034734,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896056033,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896057203,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896183469,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896355275,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896529979,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896541213,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896718471,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896857471,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896865232,Error,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896868994,Error,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,896869229,Error,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,897035972,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,897304053,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,897446490,No Auth,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.193238+05:30'
USTX230301,994,897590671,,'2023-10-31T21:00:44.193238+05:30','2023-10-31T21:00:44.194318+05:30'
