propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-09-14,GROUP~,8,9,970.70,9.75,121.34
USTX230301,920,2023-09-15,SSC,2,2,292.50,2.46,146.25
USTX230301,920,2023-09-15,SRTL,20,23,"3,542.00",29.73,177.10
USTX230301,920,2023-09-15,SRD Rate,3,3,206.34,1.73,68.78
USTX230301,920,2023-09-15,SCPM,5,5,786.00,6.60,157.20
USTX230301,920,2023-09-15,SC15,1,1,164.90,1.38,164.90
USTX230301,920,2023-09-15,SBOOK,8,9,"1,302.00",10.93,162.75
USTX230301,920,2023-09-15,SAPR2X,4,4,390.03,3.27,97.51
USTX230301,920,2023-09-15,SAPR2M,1,1,118.85,1.00,118.85
USTX230301,920,2023-09-15,S3A,2,2,340.20,2.86,170.10
USTX230301,920,2023-09-15,BAR,8,9,"1,312.00",11.01,164.00
USTX230301,920,2023-09-15,PKPR1,1,1,120.50,1.01,120.50
USTX230301,920,2023-09-15,NO SHOW,0,0,224.20,1.88,0.00
USTX230301,920,2023-09-15,LWTO,2,2,197.25,1.66,98.63
USTX230301,920,2023-09-15,LWI2,1,1,107.10,0.90,107.10
USTX230301,920,2023-09-15,LWI,1,1,133.95,1.12,133.95
USTX230301,920,2023-09-15,LTRAV,10,11,610.00,5.12,61.00
USTX230301,920,2023-09-15,LEXP,7,8,"1,019.85",8.56,145.69
USTX230301,920,2023-09-15,LATP,1,1,74.00,0.62,74.00
USTX230301,920,2023-09-15,GROUP~,8,9,970.70,8.15,121.34
USTX230301,920,2023-09-16,SSC,1,1,125.10,0.98,125.10
USTX230301,920,2023-09-16,SRTL,23,25,"3,922.00",30.77,170.52
USTX230301,920,2023-09-16,SRD Rate,4,4,509.68,4.00,127.42
USTX230301,920,2023-09-16,SNP,1,1,151.20,1.19,151.20
USTX230301,920,2023-09-16,SCPM,8,8,"1,220.15",9.57,152.52
USTX230301,920,2023-09-16,SBOOK,10,11,"1,565.00",12.28,156.50
USTX230301,920,2023-09-16,SAPR2X,10,11,"1,070.44",8.40,107.04
USTX230301,920,2023-09-16,SAPR2M,3,3,356.55,2.80,118.85
USTX230301,920,2023-09-16,SAPR2G,1,1,113.99,0.89,113.99
USTX230301,920,2023-09-16,BAR,5,5,770.00,6.04,154.00
USTX230301,920,2023-09-16,PKPR1,1,1,135.50,1.06,135.50
USTX230301,920,2023-09-16,NO SHOW,0,0,149.00,1.17,0.00
USTX230301,920,2023-09-16,LWTO,2,2,182.25,1.43,91.13
USTX230301,920,2023-09-16,LWI2,3,3,366.30,2.87,122.10
USTX230301,920,2023-09-16,LEXP,8,8,"1,065.70",8.36,133.21
USTX230301,920,2023-09-16,LATP,1,1,74.00,0.58,74.00
USTX230301,920,2023-09-16,GROUP~,8,8,970.70,7.61,121.34
USTX230301,920,2023-09-17,SSC,2,2,187.20,2.37,93.60
USTX230301,920,2023-09-17,SRTL,14,18,"1,809.00",22.90,129.21
USTX230301,920,2023-09-17,SRD Rate,1,1,53.38,0.68,53.38
USTX230301,920,2023-09-17,SO2R,1,1,107.20,1.36,107.20
USTX230301,920,2023-09-17,SO2M2M,2,2,184.52,2.34,92.26
USTX230301,920,2023-09-17,SO2EXP,5,6,422.01,5.34,84.40
USTX230301,920,2023-09-17,SO2BK,1,1,87.20,1.10,87.20
USTX230301,920,2023-09-17,SNP,2,2,186.40,2.36,93.20
USTX230301,920,2023-09-17,SGML,1,1,89.10,1.13,89.10
USTX230301,920,2023-09-17,SCPM,11,14,"1,226.63",15.53,111.51
USTX230301,920,2023-09-17,SBOOK,3,4,336.05,4.25,112.02
USTX230301,920,2023-09-17,SAPR2X,5,6,552.73,7.00,110.55
USTX230301,920,2023-09-17,SAPR2M,1,1,85.54,1.08,85.54
USTX230301,920,2023-09-17,SAPR2G,1,1,109.97,1.39,109.97
USTX230301,920,2023-09-17,S3A,1,1,116.10,1.47,116.10
USTX230301,920,2023-09-17,BAR,13,17,"1,444.00",18.28,111.08
USTX230301,920,2023-09-17,LWTO,2,2,174.75,2.21,87.38
USTX230301,920,2023-09-17,LWI2,2,2,189.10,2.39,94.55
USTX230301,920,2023-09-17,LNET2,1,1,81.75,1.03,81.75
USTX230301,920,2023-09-17,LEXP,4,5,383.50,4.85,95.88
USTX230301,920,2023-09-17,LATP,1,1,74.00,0.94,74.00
USTX230301,920,2023-09-18,SSC,1,2,80.10,2.27,80.10
USTX230301,920,2023-09-18,SRTL,1,2,89.00,2.52,89.00
USTX230301,920,2023-09-18,SO2R,1,2,75.20,2.13,75.20
